TP,Block,Corpus,List type,List number,Talker,Masker,Masker level,SNR,Condition
2002,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
2002,2,DAST,F1A,1,F1,SSN_F1,-40,0,3
2002,3,DAST,F1A,2,F1,SSN_F1,-40,5,4
2002,4,DAST,F1A,3,F1,SSN_F1,-40,5,7
2002,5,DAST,F1A,4,F1,SSN_F1,-40,0,5
2002,6,DAST,F1A,5,F1,SSN_F1,-40,0,6
2002,7,DAST,F1A,6,F1,SSN_F1,-40,5,6
2002,8,DAST,F1A,7,F1,SSN_F1,-40,5,5
2002,9,DAST,F1A,8,F1,SSN_F1,-40,0,7
2002,10,DAST,F1A,9,F1,SSN_F1,-40,0,4
2002,11,DAST,F1A,10,F1,SSN_F1,-40,5,3
2016,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
2016,2,DAST,F1A,1,M1,SSN_F1,-40,5,4
2016,3,DAST,F1A,2,M1,SSN_F1,-40,0,5
2016,4,DAST,F1A,3,M1,SSN_F1,-40,0,3
2016,5,DAST,F1A,4,M1,SSN_F1,-40,5,6
2016,6,DAST,F1A,5,M1,SSN_F1,-40,5,7
2016,7,DAST,F1A,6,M1,SSN_F1,-40,0,7
2016,8,DAST,F1A,7,M1,SSN_F1,-40,0,6
2016,9,DAST,F1A,8,M1,SSN_F1,-40,5,3
2016,10,DAST,F1A,9,M1,SSN_F1,-40,5,5
2016,11,DAST,F1A,10,M1,SSN_F1,-40,0,4
2020,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
2020,2,DAST,F1A,1,F1,SSN_F1,-40,0,5
2020,3,DAST,F1A,2,F1,SSN_F1,-40,5,6
2020,4,DAST,F1A,3,F1,SSN_F1,-40,5,4
2020,5,DAST,F1A,4,F1,SSN_F1,-40,0,7
2020,6,DAST,F1A,5,F1,SSN_F1,-40,0,3
2020,7,DAST,F1A,6,F1,SSN_F1,-40,5,3
2020,8,DAST,F1A,7,F1,SSN_F1,-40,5,7
2020,9,DAST,F1A,8,F1,SSN_F1,-40,0,4
2020,10,DAST,F1A,9,F1,SSN_F1,-40,0,6
2020,11,DAST,F1A,10,F1,SSN_F1,-40,5,5
2019,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
2019,2,DAST,F1A,1,M1,SSN_F1,-40,5,6
2019,3,DAST,F1A,2,M1,SSN_F1,-40,0,7
2019,4,DAST,F1A,3,M1,SSN_F1,-40,0,5
2019,5,DAST,F1A,4,M1,SSN_F1,-40,5,3
2019,6,DAST,F1A,5,M1,SSN_F1,-40,5,4
2019,7,DAST,F1A,6,M1,SSN_F1,-40,0,4
2019,8,DAST,F1A,7,M1,SSN_F1,-40,0,3
2019,9,DAST,F1A,8,M1,SSN_F1,-40,5,5
2019,10,DAST,F1A,9,M1,SSN_F1,-40,5,7
2019,11,DAST,F1A,10,M1,SSN_F1,-40,0,6
1681,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
1681,2,DAST,F1A,1,F1,SSN_F1,-40,0,7
1681,3,DAST,F1A,2,F1,SSN_F1,-40,5,3
1681,4,DAST,F1A,3,F1,SSN_F1,-40,5,6
1681,5,DAST,F1A,4,F1,SSN_F1,-40,0,4
1681,6,DAST,F1A,5,F1,SSN_F1,-40,0,5
1681,7,DAST,F1A,6,F1,SSN_F1,-40,5,5
1681,8,DAST,F1A,7,F1,SSN_F1,-40,5,4
1681,9,DAST,F1A,8,F1,SSN_F1,-40,0,6
1681,10,DAST,F1A,9,F1,SSN_F1,-40,0,3
1681,11,DAST,F1A,10,F1,SSN_F1,-40,5,7
1514,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
1514,2,DAST,F1A,1,M1,SSN_F1,-40,5,3
1514,3,DAST,F1A,2,M1,SSN_F1,-40,0,4
1514,4,DAST,F1A,3,M1,SSN_F1,-40,0,7
1514,5,DAST,F1A,4,M1,SSN_F1,-40,5,5
1514,6,DAST,F1A,5,M1,SSN_F1,-40,5,6
1514,7,DAST,F1A,6,M1,SSN_F1,-40,0,6
1514,8,DAST,F1A,7,M1,SSN_F1,-40,0,5
1514,9,DAST,F1A,8,M1,SSN_F1,-40,5,7
